datetime,City,temperature,humidity,pressure,wind_speed,wind_direction,weather_description,Country,Latitude,Longitude
2012-10-01 12:00:00,Vancouver,,,,,,,Canada,49.24966,-123.119339
2012-10-01 13:00:00,Vancouver,284.63,76,,0,0,mist,Canada,49.24966,-123.119339
2012-10-01 14:00:00,Vancouver,284.62904131,76,,0,6,broken clouds,Canada,49.24966,-123.119339
2012-10-01 15:00:00,Vancouver,284.626997923,76,,0,20,broken clouds,Canada,49.24966,-123.119339
2012-10-01 16:00:00,Vancouver,284.624954535,77,,0,34,broken clouds,Canada,49.24966,-123.119339
2012-10-01 17:00:00,Vancouver,284.622911147,78,,0,47,broken clouds,Canada,49.24966,-123.119339
2012-10-01 18:00:00,Vancouver,284.620867759,78,,0,61,broken clouds,Canada,49.24966,-123.119339
2012-10-01 19:00:00,Vancouver,284.618824371,79,,0,75,broken clouds,Canada,49.24966,-123.119339
2012-10-01 20:00:00,Vancouver,284.616780983,79,,0,89,broken clouds,Canada,49.24966,-123.119339
2012-10-01 21:00:00,Vancouver,284.614737595,80,,0,102,broken clouds,Canada,49.24966,-123.119339
2012-10-01 22:00:00,Vancouver,284.612694207,81,,0,116,broken clouds,Canada,49.24966,-123.119339
2012-10-01 23:00:00,Vancouver,284.610650819,81,,0,130,broken clouds,Canada,49.24966,-123.119339
2012-10-02 00:00:00,Vancouver,284.608607431,82,,0,144,broken clouds,Canada,49.24966,-123.119339
2012-10-02 01:00:00,Vancouver,284.606564043,83,,0,157,broken clouds,Canada,49.24966,-123.119339
2012-10-02 02:00:00,Vancouver,284.604520655,83,,0,171,broken clouds,Canada,49.24966,-123.119339
2012-10-02 03:00:00,Vancouver,284.602477267,84,,0,185,broken clouds,Canada,49.24966,-123.119339
2012-10-02 04:00:00,Vancouver,284.600433879,84,,0,199,broken clouds,Canada,49.24966,-123.119339
2012-10-02 05:00:00,Vancouver,284.598390491,85,,0,213,broken clouds,Canada,49.24966,-123.119339
2012-10-02 06:00:00,Vancouver,284.596347103,86,,0,226,broken clouds,Canada,49.24966,-123.119339
2012-10-02 07:00:00,Vancouver,284.594303716,86,,0,240,broken clouds,Canada,49.24966,-123.119339
2012-10-02 08:00:00,Vancouver,284.592260328,87,,0,254,broken clouds,Canada,49.24966,-123.119339
2012-10-02 09:00:00,Vancouver,284.59021694,87,807,0,268,broken clouds,Canada,49.24966,-123.119339
